Indx,Doctor,Review,Classification
1,1962118,"Dr. Goldstein is a very knowledgeable and pleasant doctor. He did not rush me and took the time to get to know a little bit about me on my first visit to him (which is certainly unlike many other doctors who treat you like a part on an assembly line). When I was very sick recently I went to see Dr. Goldstein for the second time, to figure out what was going on. Not only did he properly diagnose me with strep throat and prescribe the right medications, he answered all of my many questions and was just a generally pleasant person. Highly recommend Dr. Goldstein for a Primary Care Physician. He also specializes in gastroentology. Appointments and waiting time are not that bad.",POS
2,912291,She's fraud!!! She's a scam artist! I can't believe she's in practice. She slept with a Producer on a TV show to get her career started. I went in there for a cavity and she was not professional in her work. The staff was very rude as well!!! She deserves her license to be revoked!,NEG
3,912291,She's terrible! She's a scam artist!! STAY AWAY!!!!! She is a shyster charging patients in a dishonest way!!! Can't believe this girl is still in business. Someone please throw her out the window!!,NEG
4,912291,"Dr. Shadi Hosseini is awesome! Her patients definitely come first in her book. She makes sure that every part of a patient's teeth is healthy, bright, and resilient. You would definitely learn something new about your teeth in the short time with her. She will also give you great tips on how to keep your teeth continuously healthy. She is truly a dedicated dentist. Her passion has led her to appear on ABC and Good Morning America to talk about good dental hygiene. Her office is also amazing with a 360 degree view in the Chrysler building. She truly loves what she does!",POS
5,912291,"My first visit to her and I will def go back and recommend her to everyone.  Great disposition and patient, kind and knowledgeable.",POS
6,912291,Very nice and great patient care! Plus she is very knowledgeable about dentistry,POS
7,855973,"I had two messed up nosejobs before meeting Dr. Godfrey. He did a terrific job getting me back to the point that my nose looks normal and I can breathe again. It isn't perfect, but it is so much better than before that I am totally thrilled.",POS
8,855973,Experienced collapse of part of cartiledge following rhinoplasty.  This has truly been the worst nightmare for me.,NEG
9,1668628,She is very nervous Dr. I don't like her. I would not recommend!!!,NEG
10,1668628,"This is my experience, but I would NOT recommend this doctor's office. Dr. Trakhenberg is obviously knowledgeable, but she did not explain herself during the exam. She was pulling my arm over my head before I realized she was performing a mammogram! It's as simple as telling the patient what you are doing! Also, when I received the results from my papsmear the woman on the phone did not explain anything or address how the diagnosis may be upsetting. She simply said, ""you call back for an exam in 6 months."" I was literally holding back tears on the other end and so I said ""I don't think I want to come back"" she nonchalantly said, ""Well, that's your choice"". And the conversation ended. It was a very upsetting experience and I still feel upset weeks later. The front desk staff were disrespectful, which makes me wonder what kind of management they are under that causes them to act this way. This doctor's office needs to make some changes!! I do not want what happened to me to happen to someone else.",NEG
11,1668628,Extremely money obsessed and rude! Your insurance is not enough. She wants more. Avoid her!!!,NEG
12,1668628,"Dr. Trakhtenberg is excellent! She is knowledgable, attentive and friendly! I always have a pleasant experience at the office! If I have any questions or concerns, she is easily reached by phone to answer them. The staff are quick and efficient and make the office run smoothly! I am definitely happy here!",POS
13,1668628,"DR. YELENA IS THE BEST, I LOVED HER HEALTH CARE AND NOQ I FOUND OUT SHE MOVED TO BROOKLYN AND HSS HER OWN CLINIC. IM THINKING TO GO ALL THE WAY FROM QUEENS TO HER BC I LOVED HER AS MY OB",POS
14,1668628,"Overall I liked Dr. Trackhtenberg, although I didn't always appreciate her lack of appreciation for natural childbirth. I also think the hours and demand of her job started to wear her down since she didn't seem to love her job very much. However, I think we gained a good patient/doctor level of respect. What was disapointing is that one day I went to the office and learned she left the practice. I was not previously informed and it was very sudden. Now there is one doctor who has all the patients and probably can't handle the load. I'm wondering if anyone knows what happened to Dr. Trackhtenberg and where she went.",NEU
15,1668628,"well, this Doctor is very nice she takes time with you and understands you.  I waited long maybe two times but it's because she has a lot of pts.  But yes.. i will recommend her.",POS
16,1668628,"Great doctor, highly recommend her. She is absolutely awesome.",POS
17,1668628,Great great Dr..had an amazzing experience with her. Delivered my baby and I am absolutely happy with her service. Very helpful and plesant. Great personality,POS
